ID_REF,FC,Gene Symbol
236465_at,0.2076185514166653,RNF175
214895_s_at,0.20751883101041457,ADAM10
229450_at,0.2074917326874992,IFIT3
227766_at,0.20728452573958078,LIG4
224751_at,0.20728329555207914,C7orf73 /// LOC101930655
206674_at,0.20719092779166637,FLT3
201185_at,0.2071506675312511,HTRA1
224918_x_at,0.20703312617708036,MGST1
214684_at,0.2068942649687493,MEF2A
208122_x_at,0.20678460020833356,KIR2DS3
238405_at,0.2065667382187515,
205789_at,0.20635083068749616,CD1D
242838_at,0.20634956171874963,MAP6D1
224009_x_at,0.20620965810416436,DHRS9
233210_at,0.2059351070416673,FLJ12120
212721_at,0.2059017046770819,SREK1
1558014_s_at,0.20588365013541754,FAR1
203305_at,0.20582553447916574,F13A1
213652_at,0.2058084510000011,PCSK5
227080_at,0.2057459774166679,ZNF697
223939_at,0.20550978684375032,SUCNR1
220095_at,0.20517751396874973,CNTLN
208198_x_at,0.20510869826041667,KIR2DS1
222717_at,0.20489676379166522,SDPR
216925_s_at,0.2048961323437526,TAL1
228325_at,0.2047572557916686,SPIDR
224374_s_at,0.20474140263541685,EMILIN2
200636_s_at,0.20466039580208273,PTPRF
205569_at,0.2046452439791695,LAMP3
202275_at,0.2046176365208323,G6PD
1555659_a_at,0.20450176842708245,TREML1
221958_s_at,0.20437749596874788,WLS
233831_at,0.20434328919792,LOC100291666
238327_at,0.20431845124999715,ODF3B
236081_at,0.2042527416145834,SNCA
207389_at,0.20401779294791567,GP1BA
207167_at,0.2040017206770841,CD101
230695_s_at,0.20391313201041505,RSPH9
228706_s_at,0.20380616197916446,CLDN23
206244_at,0.20379267819791913,CR1
212192_at,0.20375687312500546,KCTD12
223276_at,0.2034397182500003,SMIM3
203661_s_at,0.20320283255208338,TMOD1
219387_at,0.20306373459374782,CCDC88A
232273_at,0.20305882134375253,
206875_s_at,0.20295683280208276,SLK
227554_at,0.20285778504166707,MAGI2-AS3
57588_at,0.2026847742708311,SLC24A3
205127_at,0.20259066543750137,PTGS1
225447_at,0.20246091936458654,GPD2
229460_at,0.2024255205625014,FAM126B
202770_s_at,0.20242111588541611,CCNG2
1555929_s_at,0.2024179453854167,
203552_at,0.2023055068749997,MAP4K5
1557126_a_at,0.20216793286458268,PLD1
41469_at,0.20213588482291378,PI3
204172_at,0.20200904023958444,CPOX
1554360_at,0.20170904486458596,FCHSD2
210087_s_at,0.20164591963541767,MPZL1
201887_at,0.2016254916979161,IL13RA1
206944_at,0.2016036052708312,HTR6
210247_at,0.20158593430208605,SYN2
225202_at,0.20141395631249992,RHOBTB3
201302_at,0.20124406985416954,ANXA4
1565976_at,0.2008212461666652,
266_s_at,0.2007664713854176,CD24
215719_x_at,0.20071945511458544,FAS
243888_at,0.20066763988541592,
232686_at,0.2006664875625015,SIGLEC17P
206130_s_at,0.2005795178541705,ASGR2
1562306_at,0.20055154271875164,
209339_at,0.20028930660416577,SIAH2
207414_s_at,0.20027605921875136,LOC100507472 /// PCSK6
203347_s_at,0.20003829111458415,MTF2
213839_at,0.19995192531250172,CLMN
222639_s_at,0.1998248881145832,LOC101928290 /// LOC101928317
205403_at,0.1997774577083291,IL1R2
204971_at,0.19939103650000511,CSTA
225666_at,0.19937168303124686,TMTC4
1566557_at,0.19926678901041495,BAIAP2-AS1
209588_at,0.19923392022916797,EPHB2
229909_at,0.19909571096875123,B4GALNT3
223423_at,0.1990629808124984,GPR160
237936_at,0.1988161128437489,
228865_at,0.19866872915624878,C1orf116
240948_at,0.1985287368541675,
1559580_at,0.1985187000104176,LRRC39
213096_at,0.1985123903750008,TMCC2
215306_at,0.19851213897916908,
224393_s_at,0.19849554245833367,CECR6
235678_at,0.19847689382291644,GM2A
210346_s_at,0.1984605628124969,CLK4
228933_at,0.19840410410417064,NHS
214337_at,0.19840016919791603,COPA
1558956_s_at,0.19836606174999893,IFT80
220148_at,0.1982493910937535,ALDH8A1
227620_at,0.19812390804166657,SLC44A1
1562019_at,0.19809917295833301,NT5DC4
231310_at,0.198093664541668,TRIM71
200628_s_at,0.19806113627082844,WARS
203775_at,0.19805578234375076,SLC25A13
205110_s_at,0.1979261376666681,FGF13
208883_at,0.19786889166666555,UBR5
211459_at,0.19782618293750343,
211245_x_at,0.19758606295833303,KIR2DL4
1558234_at,0.19757437720833337,KCNJ2-AS1
1553604_at,0.19757339819791664,ABCA13
205041_s_at,0.19740179723958207,ORM1 /// ORM2
201195_s_at,0.19704759086458257,SLC7A5
225731_at,0.1970296403333327,ANKRD50
209467_s_at,0.19700932759375078,MKNK1
222453_at,0.19697513275000045,CYBRD1
231183_s_at,0.19665823680208572,
225710_at,0.19653489050000417,GNB4
228567_at,0.19650873720833406,GAN
239358_at,0.19649454153125046,
226344_at,0.19633331497916728,ZMAT1
223834_at,0.19632537718750065,CD274
231029_at,0.19629856829166847,F5
237063_at,0.19613829571874764,RP11-44F14.8
